kshnoa3	kshnma3	sdtcda3	seqnoa3	stnnoa3	stnnma3	buinoa3	buinma3	jikcna3	jiknoa3	mevald3	jgecdd3	jgenmd3	ngvald3	tolsna3	medayd3	metimd3	wkrnoa3	wkrnma3
005	50kVA	20230110091000	3	工程3	ジャンパー	008	ジャンパー　5k～100k	2	2	120	1	OK		000001A	2023/1/10	09:14:00	1	東日 太郎
005	50kVA	20230110091000	4	工程3.5	ダボ締め	013	タンキング固定 50k	2	1	44.1	1	OK		000017A	2023/1/10	09:16:00	1	東日 太郎
005	50kVA	20230110091000	4	工程3.5	ダボ締め	013	タンキング固定 50k	2	2	44.1	1	OK		000017A	2023/1/10	09:16:00	1	東日 太郎
006	75kVA	20230110092000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	6	1	290	1	OK		000001A	2023/1/10	09:20:00	1	東日 太郎
006	75kVA	20230110092000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	6	2	290	1	OK		000001A	2023/1/10	09:20:00	1	東日 太郎
006	75kVA	20230110092000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	6	3	290	1	OK		000001A	2023/1/10	09:20:00	1	東日 太郎
006	75kVA	20230110092000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	6	4	290	1	OK		000001A	2023/1/10	09:20:00	1	東日 太郎
006	75kVA	20230110092000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	6	5	290	1	OK		000001A	2023/1/10	09:20:00	1	東日 太郎
006	75kVA	20230110092000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	6	6	290	1	OK		000001A	2023/1/10	09:20:00	1	東日 太郎
006	75kVA	20230110092000	2	工程2	碍盤配線・固定	007	碍盤配固定　5k～100k	2	1	490	1	OK		000030A	2023/1/10	09:22:00	1	東日 太郎
006	75kVA	20230110092000	2	工程2	碍盤配線・固定	007	碍盤配固定　5k～100k	2	2	490	1	OK		000030A	2023/1/10	09:22:00	1	東日 太郎
006	75kVA	20230110092000	3	工程3	ジャンパー	008	ジャンパー　5k～100k	2	1	120	1	OK		000001A	2023/1/10	09:24:00	1	東日 太郎
006	75kVA	20230110092000	3	工程3	ジャンパー	008	ジャンパー　5k～100k	2	2	120	1	OK		000001A	2023/1/10	09:24:00	1	東日 太郎
006	75kVA	20230110092000	4	工程3.5	ダボ締め	014	タンキング固定 75k	2	1	44.1	1	OK		000017A	2023/1/10	09:26:00	1	東日 太郎
006	75kVA	20230110092000	4	工程3.5	ダボ締め	014	タンキング固定 75k	2	2	44.1	1	OK		000017A	2023/1/10	09:26:00	1	東日 太郎
007	100kVA	20230110093000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	6	1	290	1	OK		000001A	2023/1/10	09:30:00	1	東日 太郎
007	100kVA	20230110093000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	6	2	290	1	OK		000001A	2023/1/10	09:30:00	1	東日 太郎
007	100kVA	20230110093000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	6	3	290	1	OK		000001A	2023/1/10	09:30:00	1	東日 太郎
007	100kVA	20230110093000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	6	4	290	1	OK		000001A	2023/1/10	09:30:00	1	東日 太郎
007	100kVA	20230110093000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	6	5	290	1	OK		000001A	2023/1/10	09:30:00	1	東日 太郎
007	100kVA	20230110093000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	6	6	290	1	OK		000001A	2023/1/10	09:30:00	1	東日 太郎
007	100kVA	20230110093000	2	工程2	碍盤配線・固定	007	碍盤配固定　5k～100k	2	1	490	1	OK		000030A	2023/1/10	09:32:00	1	東日 太郎
007	100kVA	20230110093000	2	工程2	碍盤配線・固定	007	碍盤配固定　5k～100k	2	2	490	1	OK		000030A	2023/1/10	09:32:00	1	東日 太郎
007	100kVA	20230110093000	3	工程3	ジャンパー	008	ジャンパー　5k～100k	2	1	120	1	OK		000001A	2023/1/10	09:34:00	1	東日 太郎
007	100kVA	20230110093000	3	工程3	ジャンパー	008	ジャンパー　5k～100k	2	2	120	1	OK		000001A	2023/1/10	09:34:00	1	東日 太郎
007	100kVA	20230110093000	4	工程3.5	ダボ締め	015	タンキング固定 100k	2	1	44.1	1	OK		000017A	2023/1/10	09:36:00	1	東日 太郎
007	100kVA	20230110093000	4	工程3.5	ダボ締め	015	タンキング固定 100k	2	2	44.1	1	OK		000017A	2023/1/10	09:36:00	1	東日 太郎
008	制5kVA	20230110094000	2	工程2	碍盤配線・固定	003	碍盤配線　制5k・制8.4k	2	1	200	1	OK		000001A	2023/1/10	09:40:00	1	東日 太郎
008	制5kVA	20230110094000	2	工程2	碍盤配線・固定	003	碍盤配線　制5k・制8.4k	2	2	200	1	OK		000001A	2023/1/10	09:40:00	1	東日 太郎
008	制5kVA	20230110094000	3	工程2	碍盤配線・固定	004	碍盤配固定　制5k・制8.4k	1	1	490	1	OK		000030A	2023/1/10	09:42:00	1	東日 太郎
008	制5kVA	20230110094000	4	工程3.5	ダボ締め	009	タンキング固定 5k	2	1	44.1	1	OK		000017A	2023/1/10	09:44:00	1	東日 太郎
008	制5kVA	20230110094000	4	工程3.5	ダボ締め	009	タンキング固定 5k	2	2	44.1	1	OK		000017A	2023/1/10	09:44:00	1	東日 太郎
009	制8.4kVA	20230110095000	2	工程2	碍盤配線・固定	003	碍盤配線　制5k・制8.4k	2	1	200	1	OK		000001A	2023/1/10	09:50:00	1	東日 太郎
009	制8.4kVA	20230110095000	2	工程2	碍盤配線・固定	003	碍盤配線　制5k・制8.4k	2	2	200	1	OK		000001A	2023/1/10	09:50:00	1	東日 太郎
009	制8.4kVA	20230110095000	3	工程2	碍盤配線・固定	004	碍盤配固定　制5k・制8.4k	1	1	490	1	OK		000030A	2023/1/10	09:52:00	1	東日 太郎
009	制8.4kVA	20230110095000	4	工程3.5	ダボ締め	017	タンキング固定 制8.4k	2	1	44.1	1	OK		000017A	2023/1/10	09:54:00	1	東日 太郎
009	制8.4kVA	20230110095000	4	工程3.5	ダボ締め	017	タンキング固定 制8.4k	2	2	44.1	1	OK		000017A	2023/1/10	09:54:00	1	東日 太郎
